codigoParlamentar,DataSessaoPlenaria,DescricaoIdentificacaoMateria,EmentaMateria,DescricaoVoto
345,2008-10-08,MSF 175/2008,Submete à apreciação do Senado Federal a indicação do Senhor DIRCEU BRÁS APARECIDO BARBANO para exercer o cargo de Diretor da Agência Nacional de Vigilância Sanitária - ANVISA.,Votou
345,2010-12-15,SCD 240/2001,"Substitutivo da Câmara dos Deputados ao Projeto de Lei Complementar nº 352-A de 2002 do Senado Federal (PLS nº 240/01 na Casa de origem), que altera a Lei Complementar nº 87, de 13 de setembro de 1996, que dispõe sobre o imposto dos Estados e do Distrito Federal sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação, e dá outras providências.",Sim
345,2010-12-15,MSF 312/2010,"Submete à apreciação do Senado Federal, nos termos do art. 84. inciso XIV, combinado com o art. 52, inciso III, letra ""d"" da Constituição Federal, o nome do Senhor ALEXANDRE ANTONIO TOMBINI para exercer o cargo de Presidente do Banco Central do Brasil.",Votou
345,2010-11-30,MSF 293/2010,"Submete à apreciação do Senado Federal a escolha do Senhor ANTONINO LISBOA MENA GONÇALVES, Ministro de Primeira Classe da Carreira de Diplomata do Quadro Permanente do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto à República da Colômbia.",Votou
345,2010-11-30,MSF 244/2010,"Submete à apreciação do Senado Federal a indicação do Senhor PIRAGIBE DOS SANTOS TARRAGÔ, Ministro de Primeira Classe da Carreira de Diplomata do Quadro Permanente do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto ao Canadá.",Votou
345,2010-11-24,MSF 290/2010,"Submete à apreciação do Senado Federal a indicação da Senhora LUCIANA PIRES DIAS para exercer o cargo de Diretora da Comissão de Valores Mobiliários - CVM, na vaga decorrente do término de mandato do Senhor MARCOS BARBOSA PINTO.",Votou
345,2010-11-24,MSF 296/2010,"Submete à apreciação do Senado Federal em conformidade com o art. 52, inciso IV, da Constituição Federal, com o art. 39 da Lei nº 11.440, de 29 de dezembro de 2006, a escolha do nome do Senhor GEORGE MONTEIRO PRATA, Ministro de Primeira Classe da Carreira de Diplomata do Quadro Permanente do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto à República Tcheca.",Votou
345,2010-11-24,MSF 294/2010,"Submete à apreciação do Senado Federal a escolha do Senhor MARCOS LEAL RAPOSO LOPES, Ministro de Primeira Classe da Carreira de Diplomata do Quadro Permanente do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto aos Estados Unidos Mexicanos.",Votou
345,2010-11-24,MSF 276/2010,"Submete à apreciação do Senado Federal a indicação do Senhor RONALDO DE CAMPOS VERAS, Ministro de Segunda Classe da Carreira de Diplomata do Quadro Especial do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto à Comunidade das Bahamas.",Presente – Não registrou voto
345,2010-11-24,MSF 275/2010,"Submete à apreciação do Senado Federal a indicação do Senhor TOMAS MAURICIO GUGGENHEIM, Ministro de Segunda Classe da Carreira de Diplomata do Quadro Especial do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto a Belize.",Votou
